layer,head,type,effect
0,0,attn_head,0.0
0,1,attn_head,0.00013276934623718262
0,2,attn_head,0.0
0,3,attn_head,0.0
0,4,attn_head,0.0
0,5,attn_head,0.0005324482917785645
0,6,attn_head,-0.0037856698036193848
0,7,attn_head,0.0007559210062026978
0,8,attn_head,0.0
0,9,attn_head,0.0
0,10,attn_head,0.0
0,11,attn_head,0.0
0,12,attn_head,0.0
0,13,attn_head,0.007770329713821411
0,14,attn_head,0.0
0,15,attn_head,0.0
0,16,attn_head,0.00269162654876709
0,17,attn_head,0.008207045495510101
0,18,attn_head,0.0
0,19,attn_head,0.0
0,20,attn_head,0.0
0,21,attn_head,-0.001641497015953064
0,22,attn_head,0.0
0,23,attn_head,0.0
0,24,attn_head,0.0005341917276382446
0,25,attn_head,0.0012988895177841187
0,26,attn_head,0.0
0,27,attn_head,0.0
0,28,attn_head,0.0
0,29,attn_head,0.0
0,30,attn_head,0.0
0,31,attn_head,0.001733332872390747
1,0,attn_head,0.0017539560794830322
1,1,attn_head,-0.0012864470481872559
1,2,attn_head,0.0
1,3,attn_head,0.0
1,4,attn_head,-0.0075301676988601685
1,5,attn_head,0.0
1,6,attn_head,0.0018650293350219727
1,7,attn_head,0.005420714616775513
1,8,attn_head,0.0
1,9,attn_head,-0.003204643726348877
1,10,attn_head,-0.0028139352798461914
1,11,attn_head,0.0
1,12,attn_head,0.0
1,13,attn_head,0.00034117698669433594
1,14,attn_head,0.0
1,15,attn_head,0.0
1,16,attn_head,0.0041159093379974365
1,17,attn_head,0.0
1,18,attn_head,0.001453697681427002
1,19,attn_head,0.0
1,20,attn_head,0.007513105869293213
1,21,attn_head,0.0
1,22,attn_head,0.0
1,23,attn_head,0.006731532514095306
1,24,attn_head,0.0
1,25,attn_head,0.0
1,26,attn_head,-0.0022225528955459595
1,27,attn_head,0.002804398536682129
1,28,attn_head,-7.295608520507812e-05
1,29,attn_head,0.0
1,30,attn_head,0.0
1,31,attn_head,0.0
2,0,attn_head,0.005346223711967468
2,1,attn_head,0.0
2,2,attn_head,0.0
2,3,attn_head,0.0
2,4,attn_head,-0.004729241132736206
2,5,attn_head,0.0
2,6,attn_head,0.00017076730728149414
2,7,attn_head,0.0
2,8,attn_head,-0.002471715211868286
2,9,attn_head,0.004677534103393555
2,10,attn_head,0.0
2,11,attn_head,-1.4930963516235352e-05
2,12,attn_head,-0.013204425573348999
2,13,attn_head,0.0
2,14,attn_head,0.0
2,15,attn_head,0.00173988938331604
2,16,attn_head,0.0011203289031982422
2,17,attn_head,0.0
2,18,attn_head,-0.0021883174777030945
2,19,attn_head,-7.808208465576172e-05
2,20,attn_head,0.0
2,21,attn_head,-0.007445722818374634
2,22,attn_head,0.0070320069789886475
2,23,attn_head,0.0
2,24,attn_head,0.0
2,25,attn_head,0.011030532419681549
2,26,attn_head,0.0
2,27,attn_head,0.0
2,28,attn_head,0.0
2,29,attn_head,0.0033257603645324707
2,30,attn_head,0.0
2,31,attn_head,0.0
3,0,attn_head,0.0034228041768074036
3,1,attn_head,0.0030988678336143494
3,2,attn_head,0.0
3,3,attn_head,0.007676661014556885
3,4,attn_head,0.0
3,5,attn_head,0.0
3,6,attn_head,0.0
3,7,attn_head,0.004127621650695801
3,8,attn_head,0.0
3,9,attn_head,0.0
3,10,attn_head,0.0
3,11,attn_head,0.0
3,12,attn_head,0.0
3,13,attn_head,-0.0020076632499694824
3,14,attn_head,-0.00022023916244506836
3,15,attn_head,0.0
3,16,attn_head,0.0
3,17,attn_head,0.0
3,18,attn_head,0.0
3,19,attn_head,0.003481745719909668
3,20,attn_head,-0.0002690553665161133
3,21,attn_head,-0.003173619508743286
3,22,attn_head,0.00696728378534317
3,23,attn_head,0.0
3,24,attn_head,0.0
3,25,attn_head,0.0
3,26,attn_head,0.0
3,27,attn_head,0.0
3,28,attn_head,-0.0009689927101135254
3,29,attn_head,0.0
3,30,attn_head,-0.00013775378465652466
3,31,attn_head,-0.002219781279563904
4,0,attn_head,0.0
4,1,attn_head,0.0
4,2,attn_head,0.002188354730606079
4,3,attn_head,0.0
4,4,attn_head,0.0
4,5,attn_head,0.0
4,6,attn_head,6.687641143798828e-05
4,7,attn_head,0.005969062447547913
4,8,attn_head,0.0
4,9,attn_head,0.0018787384033203125
4,10,attn_head,0.0
4,11,attn_head,-0.0012693405151367188
4,12,attn_head,-0.0018352866172790527
4,13,attn_head,-0.00025710463523864746
4,14,attn_head,0.0016081035137176514
4,15,attn_head,0.0
4,16,attn_head,-0.00039708614349365234
4,17,attn_head,0.0
4,18,attn_head,-0.002969294786453247
4,19,attn_head,0.0
4,20,attn_head,0.002779066562652588
4,21,attn_head,0.0
4,22,attn_head,-0.0024007856845855713
4,23,attn_head,0.0
4,24,attn_head,0.0007912218570709229
4,25,attn_head,0.0
4,26,attn_head,0.0
4,27,attn_head,0.0
4,28,attn_head,-0.0010685324668884277
4,29,attn_head,-0.0010906755924224854
4,30,attn_head,0.0018670260906219482
4,31,attn_head,0.0
5,0,attn_head,0.0
5,1,attn_head,0.0012749433517456055
5,2,attn_head,0.0
5,3,attn_head,0.0
5,4,attn_head,0.0
5,5,attn_head,0.0
5,6,attn_head,0.0063104331493377686
5,7,attn_head,0.005468308925628662
5,8,attn_head,0.0
5,9,attn_head,0.0
5,10,attn_head,-0.003976613283157349
5,11,attn_head,0.0
5,12,attn_head,0.0
5,13,attn_head,0.0
5,14,attn_head,0.0048194825649261475
5,15,attn_head,0.0
5,16,attn_head,0.0
5,17,attn_head,0.0
5,18,attn_head,0.0
5,19,attn_head,0.0007811188697814941
5,20,attn_head,0.0
5,21,attn_head,0.0
5,22,attn_head,-0.00056467205286026
5,23,attn_head,0.0
5,24,attn_head,-0.000614166259765625
5,25,attn_head,-0.002427220344543457
5,26,attn_head,7.987022399902344e-06
5,27,attn_head,-6.570667028427124e-05
5,28,attn_head,0.0
5,29,attn_head,0.0
5,30,attn_head,0.0003294646739959717
5,31,attn_head,0.0
6,0,attn_head,0.0
6,1,attn_head,0.0
6,2,attn_head,-0.002452552318572998
6,3,attn_head,0.0
6,4,attn_head,0.0
6,5,attn_head,0.0
6,6,attn_head,-0.0019569098949432373
6,7,attn_head,-0.002213805913925171
6,8,attn_head,0.0013978779315948486
6,9,attn_head,0.0
6,10,attn_head,-0.002942793071269989
6,11,attn_head,-0.006077498197555542
6,12,attn_head,0.0
6,13,attn_head,0.003456100821495056
6,14,attn_head,-0.0006911754608154297
6,15,attn_head,-0.0025278329849243164
6,16,attn_head,0.0
6,17,attn_head,-0.0017097443342208862
6,18,attn_head,-0.006769537925720215
6,19,attn_head,0.0
6,20,attn_head,-0.001027822494506836
6,21,attn_head,-2.473592758178711e-06
6,22,attn_head,0.0
6,23,attn_head,0.0
6,24,attn_head,-0.00030419230461120605
6,25,attn_head,0.0
6,26,attn_head,0.0
6,27,attn_head,0.0
6,28,attn_head,0.0
6,29,attn_head,-0.0014074742794036865
6,30,attn_head,0.004284858703613281
6,31,attn_head,0.0
7,0,attn_head,-0.0026192665100097656
7,1,attn_head,0.0
7,2,attn_head,0.0004336833953857422
7,3,attn_head,0.0
7,4,attn_head,-0.0013572350144386292
7,5,attn_head,0.0021194815635681152
7,6,attn_head,-0.006399691104888916
7,7,attn_head,7.212162017822266e-05
7,8,attn_head,0.0008334517478942871
7,9,attn_head,-0.0012668371200561523
7,10,attn_head,-0.003083452582359314
7,11,attn_head,0.0
7,12,attn_head,0.0005479753017425537
7,13,attn_head,0.0
7,14,attn_head,0.0
7,15,attn_head,-0.00035196542739868164
7,16,attn_head,0.0031055808067321777
7,17,attn_head,-0.002489805221557617
7,18,attn_head,0.0
7,19,attn_head,0.0
7,20,attn_head,-0.00025437772274017334
7,21,attn_head,0.0007443428039550781
7,22,attn_head,0.0
7,23,attn_head,0.0
7,24,attn_head,0.0
7,25,attn_head,-0.0030716657638549805
7,26,attn_head,9.775161743164062e-06
7,27,attn_head,-0.003965198993682861
7,28,attn_head,0.0
7,29,attn_head,0.0
7,30,attn_head,0.0
7,31,attn_head,0.0
8,0,attn_head,-0.0009899884462356567
8,1,attn_head,-0.006834082305431366
8,2,attn_head,-0.0001308917999267578
8,3,attn_head,-0.004598274827003479
8,4,attn_head,-0.0014516711235046387
8,5,attn_head,0.0
8,6,attn_head,-0.0016447007656097412
8,7,attn_head,0.0
8,8,attn_head,-0.0003643035888671875
8,9,attn_head,-0.0024044811725616455
8,10,attn_head,0.0
8,11,attn_head,9.225308895111084e-05
8,12,attn_head,0.0
8,13,attn_head,-0.0006962940096855164
8,14,attn_head,0.0
8,15,attn_head,0.0
8,16,attn_head,0.0
8,17,attn_head,0.003868699073791504
8,18,attn_head,-0.012998118996620178
8,19,attn_head,0.0
8,20,attn_head,0.0
8,21,attn_head,-0.004732929170131683
8,22,attn_head,0.0
8,23,attn_head,-3.1828880310058594e-05
8,24,attn_head,-0.004652440547943115
8,25,attn_head,-0.007074534893035889
8,26,attn_head,-0.0021477341651916504
8,27,attn_head,0.0
8,28,attn_head,0.0
8,29,attn_head,0.0
8,30,attn_head,0.0
8,31,attn_head,-0.0003056526184082031
9,0,attn_head,0.0031909719109535217
9,1,attn_head,0.0
9,2,attn_head,0.0008165985345840454
9,3,attn_head,0.0
9,4,attn_head,0.00013720989227294922
9,5,attn_head,0.002254694700241089
9,6,attn_head,0.0
9,7,attn_head,0.004863709211349487
9,8,attn_head,0.0
9,9,attn_head,0.0011305809020996094
9,10,attn_head,0.001065365970134735
9,11,attn_head,0.002733372151851654
9,12,attn_head,-0.002133011817932129
9,13,attn_head,0.0
9,14,attn_head,0.0014946460723876953
9,15,attn_head,0.0019161254167556763
9,16,attn_head,-0.001061275601387024
9,17,attn_head,0.0
9,18,attn_head,0.0
9,19,attn_head,-0.0006965398788452148
9,20,attn_head,0.0
9,21,attn_head,0.0021402835845947266
9,22,attn_head,0.0014104843139648438
9,23,attn_head,-0.0016293451189994812
9,24,attn_head,0.0
9,25,attn_head,0.0001304149627685547
9,26,attn_head,0.00041393935680389404
9,27,attn_head,0.002253793179988861
9,28,attn_head,0.0
9,29,attn_head,0.0
9,30,attn_head,0.0
9,31,attn_head,0.0
10,0,attn_head,-0.00030171871185302734
10,1,attn_head,0.0
10,2,attn_head,0.0
10,3,attn_head,0.0008065104484558105
10,4,attn_head,0.0
10,5,attn_head,0.0
10,6,attn_head,0.0
10,7,attn_head,0.0
10,8,attn_head,0.0
10,9,attn_head,0.0
10,10,attn_head,0.0
10,11,attn_head,-0.0038279518485069275
10,12,attn_head,0.0
10,13,attn_head,0.0
10,14,attn_head,0.0
10,15,attn_head,0.0
10,16,attn_head,0.0
10,17,attn_head,-0.00032204389572143555
10,18,attn_head,0.0
10,19,attn_head,-0.0007681846618652344
